question,context,label
當今世界的普世價值包括民主、平等、博愛以及什麼?,《義勇軍進行曲》作為國歌唱了17年。在1966年開始的「文化大革命」中，田漢被打成「右派」，於1968年含冤去世。其作品亦被認為有「政治問題」，所以禁止演唱用田漢作詞的《義勇軍進行曲》，《東方紅》變成實際「國歌」。特別是1970年全國大規模地批判田漢、周揚、夏衍、陽翰笙「四條漢子」，作為「四條漢子」之一的田漢在1975年被以「組織」的名義宣布為「叛徒」，並被「永遠開除黨籍」。從此，他作詞的歌曲不能再唱了，正式場合只能演奏《義勇軍進行曲》，不能唱出來；群眾集會時也只是高唱《東方紅》和《大海航行靠舵手》。因為田漢的歌詞不能再唱了，當時社會上掀起了一股全民參與修改國歌歌詞的熱潮。1967年4月，廣東省大埔縣的羅青田、羅春光、張天蔚被要求參與修改歌詞，並於同年5月以田春蔚的名義提交了一份修改方案。,0
二戰後，科幻小說由於大批讀者的支持保持了旺盛的文學生命力和哪項要素?,1936年12月11日晚，蔣中正要最後確定剿共軍事計劃，留張、陳誠、衛立煌、陳繼承等在華清池吃晚飯。12月12日晨，國民革命軍第十七軍在西京招待所扣押南京軍政大員，如陳誠、內政部長蔣作賓、邵力子、福建綏靖公署主任蔣鼎文及陳調元、衛立煌、朱紹良等國民政府軍政要員，並以排槍掃射陳誠住所，中央委員邵元沖等中槍遇難。西安事變時，陳誠與蔣同時被扣留於西安招待所。1937年1月4日，軍事委員會委員長蔣介石命陳誠率第四集團軍，主持陝西東路軍事宜。春，陳誠任軍政部政務次長，兼武漢行營副主任。1月14日，軍政部次長陳誠至太原與閻錫山商談陝事。3月28日，陳誠飛抵廣州。4月1日，陳誠主持中央陸軍軍官學校廣東分校舉行典禮，國民政府主席林森出席並講話。,0
新亞怪魚酒家在何時開店？,在灣仔，較有消費能力的居民則較喜愛光顧酒樓「飲茶」，在喝中國茶之餘品嚐一盅兩件的點心。灣仔區內有三間歷史悠久的著名酒樓，分別為龍門大酒樓、雙喜樓和英京大酒家已走進歷史，1920年代開業、為全港第一間海鮮酒家的新亞怪魚酒家也早已消失，意味著傳統的舊式大酒樓將完全消失於灣仔區。但是，灣仔亦擁有香港歷史最悠久的素食餐館東方小祇園，已經營了逾一世紀。西式餐廳方面，灣仔早年並不算多，當時較為出名的是售賣牛扒為主的波士頓餐廳。1980年代起，各種地區特式食肆的逐漸踴現於灣仔，常見的有日式、韓式、越式、泰式和印度式。區內亦有很多港式和美式快餐店，謝斐道和駱克道亦有很多酒吧。灣仔可以算是香港作為美食天堂的一個縮影。,1
韓國的坦克數量有超過幾百輛？,古羅馬的同性戀文化亦十分豐富，包括文學、藝術與詩歌等形式。古羅馬詩人馬庫斯·瓦勒里烏斯·馬提亞利斯創作的諷刺短詩和詩歌，便以虛構第一人稱筆法描繪透過肛門和陰道的性交，以及接受來自男女兩性的口交。哈德良是羅馬帝國最著名的同性戀皇帝。他出生於伊斯帕尼亞，西元117年至138年間在位，戀人是美少年安提諾烏斯。安提諾烏斯意外在尼羅河落水而死後，哈德良將他神化，並在埃及以安提諾烏斯為名建立了安提諾波利斯市以作紀念。受到古希臘文化的影響，羅馬共和國中後期的社會已經開始接受同性戀，但與古希臘同性戀的方式不同。這個時期的同性戀文化是由「支配者」與「奴隸」的關係組成，男性羅馬市民可以隨時與奴隸或僕人發生性行為來滿足自己的性慾，且不用受到法律限制。而這些奴隸和僕人常會被嘲弄為「孌童」。,0
研究與探索哪一區塊的領域又稱為航太?,1979年10月6日，華國鋒、葉劍英通過中共中央辦公廳通知中央政治局常委到中南海懷仁堂召開常委會，在張春橋、王洪文、姚文元先後到達會議室時，分別宣布對他們實施拘禁和隔離審查，同時對江青在其位於中南海春藕齋西側201號樓的住處實施同樣的拘捕措施，史稱粉碎四人幫或懷仁堂事變。另外，瀛台為位於南海中的小島，公元1421年，明成祖朱棣遷都北京。明皇宮及「南台」建成，1644年九月，清廷自盛京遷都北京，1655年6月清順治帝取「人間仙境」意，命名明南台為「瀛台」。1681年7月清康熙帝「瀛台聽政」，康熙皇帝在這裡研究制定平定內亂的國家方略，因定三藩賜「瀛台凱旋宴」。1726年夏少年乾隆於瀛台「補桐書屋」讀書，著『瀛台記』，乾隆帝曾在這裡寫下一句話，意思是「得一日之清閒」，所以這裡是可以令人感到放鬆的地方。,0
國樂是韓國哪一種音樂的別稱？,鎳的使用最早可追溯至公元前3500年。阿克塞爾·弗雷德里克·克龍斯泰特於1751年最早分離出鎳，並將它界定為化學元素，儘管他最初把鎳礦石誤認為銅的礦物。鎳的外語名字來自德國礦工傳說中同名的淘氣妖精，這是由於鎳銅礦不能用煉銅的方法煉出銅來，所以被比擬成妖魔。鎳最經濟的主要來源為鐵礦石褐鐵礦，含鎳量一般為1-2%。鎳的其他重要礦物包括矽鎂鎳礦及鎳黃鐵礦。鎳的主要生產地包括加拿大的索德柏立區、太平洋的新喀里多尼亞及俄羅斯的諾里爾斯克。由於鎳在室溫時的氧化緩慢，所以一般視為具有耐腐蝕性。歷史上，因為這一點鎳被用作電鍍各種表面，例如:金屬、化學裝置內部及某些需要保持閃亮銀光的合金。世界鎳生產量中的約6%仍被用於抗腐蝕純鎳電鍍。鎳曾經是硬幣的常見成份，但現時這方面已大致上被較便宜的鐵所取代，尤其是因為有些人的皮膚對鎳過敏。,0
什麼交通工具在蘇利南主要用於貨運？,雖然蘇利南在獨立之前是荷蘭的殖民地，但很特別的一點是蘇利南的道路行駛方向與靠右行駛的荷蘭並不相同，是採靠左行駛的規則。這起因於雖然在歷史上蘇利南大部分的時間都是荷蘭屬地，但卻也曾經幾度由英國統治，在英國統治期間導入了車輛靠左行駛的交通規範，雖然荷蘭曾一度意圖改變交通規範扭轉這個差異，但卻因為困難度過高而放棄，導致今日蘇利南仍採靠道路左側行車的情況。蘇利南現有225公里鐵路線，以貨物運輸為主。位在蘇利南河下游的巴拉馬利波是一座河港城市，為全國第一大城兼首都，近九成以上的貨物均由此進出口。其他如馬羅尼河、科蘭太因河等亦有水運之利。,1
一般認為東羅馬帝國最大貢獻是保留了珍貴的古希臘和羅馬史料，後續對哪個運動有直接影響?,東羅馬帝國本為羅馬帝國的東半部，較為崇尚希臘文化，與西羅馬帝國分裂後，更逐漸發展為以希臘文化、希臘語和東正教為立國基礎，在620年，席哈克略皇帝首次讓希臘語取代拉丁語，成為帝國的官方語言，使得東羅馬帝國成為不同於古羅馬帝國和西羅馬帝國的國家。在476年西羅馬帝國滅亡前和神聖羅馬帝國成立後，這個帝國被外人稱為東羅馬帝國，儘管其正式國號仍延續著古羅馬帝國時期的國號。直到1557年德意志歷史學家赫羅尼姆斯·沃爾夫為了區分其帝國的古羅馬時期及神聖羅馬帝國而引入了拜占庭帝國作為稱呼，並被現代史學上所使用。東羅馬帝國的文化和宗教對於今日的東歐各國有很大的影響。此外，東羅馬帝國在其十一個世紀的悠久歷史中所保存下來的古典希臘和羅馬史料、著作，以及理性的哲學思想，也為中世紀歐洲突破天主教神權束縛提供了最直接的動力，引發了文藝復興運動，並深遠地影響了人類歷史。1204年4月13日，東羅馬帝國首都君士坦丁堡曾被第四次十字軍東征攻陷和劫掠，直到1261年收復。1453年5月29日，鄂圖曼帝國攻陷了首都君士坦丁堡，末代皇帝君士坦丁十一世戰死，歷時一千餘年的東羅馬帝國就此滅亡，羅馬帝國也正式終結。,1
韓國的天然湖泊當中最大的位於哪一座山頂上？,"洛東江是韓國最大的河流，北起太白山脈流經大邱南至釜山入大韓海峽，長525公里。漢江長514公里，是韓國的第二大河流。流經韓國首都首爾的漢江自古就是韓國人民發展生息的生命線。韓國的湖泊較少，位於濟州島漢拿山山頂火山口的白鹿潭是韓國最大的天然湖泊，海拔1850米，湖面直徑約30米，周長1公里，深約6米。位於江原道春川市東北13公里的昭陽湖是韓國最大的人工湖，面積6930萬平方米，1973年建成。韓國擁有3,000個大小島嶼。其中濟州島是韓國面積最大的島嶼，也是韓國主要的旅遊熱點之一。濟州火山島和熔岩洞2007年被列入世界遺產列表。韓國的其它主要島嶼包括巨濟島、江華島、珍島和南海島等。",1
哪一恆星的視星等與絕對星等相差2.85？,"相對於發光度和地球的距離，絕對星等和視星等對單獨的恆星通常都是不同的，例如，明亮的天狼星視星等為−1.44，但它的絕對星等是+1.41。太陽的視星等是−26.7，但它的絕對星等只有+4.83。天狼星從地球上看是最亮的恆星，發光度大約是太陽的23倍；而在夜空中第二亮的恆星是老人星，絕對星等是−5.53，比太陽亮了14,000倍。儘管老人星實質上比天狼星要亮許多，但是看起來是天狼星比較亮，這是因為天狼星與地球的距離是8.6光年，而老人星遠了許多，與地球的距離是310光年。在2006年，絕對星等最亮的恆星是欸樓逼咇1806-20，亮度是−14.2等，至少比太陽亮約5,000,000倍。最暗淡的恆星則是在恩基希6397星團內的一顆，在星團內的這顆紅矮星絕對星等為+26等，同時最暗的白矮星光度是+28等。如此黯淡的光度相當於從地球上觀看一枝在月球上點亮的生日蠟燭。",1
多倫多市在什麼時間成為直屬省的一個市？,2002年，有關倫敦大學學院與倫敦帝國學院合併的草議曝光，此提議因事前沒有進行足夠的諮詢而惹來廣泛的批評，倫大學院的教務長德里克·羅勃茲因而被逼取消這個計劃。2005年，倫大學院獲賦予獨立頒授學位的權力。包括證書在內的官方文件均印有倫大學院的標誌，而不再以倫敦大學的名義頒發。除此，校方亦繼續擴大自己的跨校合作網路。其中，倫大學院與耶魯醫學院更是簽訂了兩校史上最具規模的合作項目。其後，他們的合作夥伴關係也從醫學延伸至人文與社會科學範疇。2003年開創的倫敦奈米技術中心是倫大學院與帝國學院的合資公司。帝國學院的翻譯學系亦自2013年10月起，轉移至倫大學院歐洲語言、社會與文化次學院。同年12月，愛思唯爾出版社與倫大學院合作開辦了大數據研究中心。2015年，英國政府宣布倫大學院、牛橋、愛丁堡、華威為艾倫圖靈研究院的五所始創大學成員。此研究院旨在促進英國圖書館對進階數學、電腦科學、大型數據處理技術的運用，以改善處理館內大量的數據與資源的方法。,0
第二星族的恆星速度會比哪一種的還要高？,"華沙是波蘭首都及最大城市，位於維斯拉河兩岸，距波羅的海和喀爾巴阡山脈大約350公里。2008年人口數字為1,707,983人，都市圈人口大約2,785,000人。城市面積512平方公里，都市圈面積12266平方公里。冷戰時期著名的華沙公約就是於此簽署的。該市也是馬佐夫舍省的省會，擁有許多工業企業，66所高等學府，和超過30家劇院。今日華沙現址上第一次修築了防禦工事的兩個城鎮是波丹路及澤斯杜維。澤斯杜維被攻擊之後，一個同樣新的城鎮在一條小漁村地址上建成，稱華斯索華。14世紀初該鎮成為馬佐夫舍公爵的其中一個駐地，後馬佐維亞併入波蘭立陶宛聯盟，1413年成為馬佐維亞公國首都。直至1526年馬佐夫舍公爵絕嗣，馬佐夫舍公國與波蘭重新合併。1529年華沙第一次成為了波蘭下議會的所在地，從1569年開始成為議會所在地。1573年華沙加入了華沙聯邦，在波蘭立陶宛聯邦形式上建立了宗教自由。",0
357年在史特拉斯堡戰役中與羅馬作戰的民族為哪一個?,"公元前1世紀後期，羅馬帝國逐步占領高盧。公元前12年至10年，羅馬帝國在史特拉斯堡所在的地方建立了一個軍事哨所，並起名為阿根圖拉騰，屬於上日爾曼行省。這與德魯修斯在萊茵河沿岸建立一系列軍事要塞的行動有關。自從4世紀起，該市就成為史特拉斯堡總主教的駐地。357年，阿拉曼人在史特拉斯堡戰役中與羅馬作戰，被後來的羅馬皇帝尤利安擊敗，他們的國王也被俘。366年1月2日，大批阿拉曼人穿過封凍的萊茵河，入侵羅馬帝國。5世紀初，阿拉曼人已經穿過萊茵河，征服並定居在今天亞爾薩斯和瑞士大部分地區。在5世紀，該市接連被阿拉曼人、匈奴人和法蘭克人占領。842年，包括三種文本的史特拉斯堡誓言在此簽署。923年，洛林公爵將史特拉斯堡交給德國國王亨利一世，神聖羅馬帝國控制了這個重要的商業中心。在史特拉斯堡的早期歷史中，總主教與市民之間發生過長期的衝突。1262年，市民一方獲得勝利，國王士瓦本的腓力普恩准史特拉斯堡獲得帝國自由城市的地位。1332年革命後，同業公會廣泛參與城市管理，史特拉斯堡宣布成立共和國。1348年的黑死病後，1349年2月14日，發生了可怕的大屠殺，2,500-3,000名猶太人被公開燒死，其餘人被驅逐出該市 。在必須離開城市的時刻，傳令官吹響了法國號。直到18世紀末，還不准許猶太人在晚上10點以後留在市內。",1
模特兒中最高等級的為？,模特兒是英語單字的音譯，近年來網路上也音譯麻豆。模特兒主要是指擔任展示藝術、時尚產品、廣告等媒體的人，通常是以伸展台模特兒為代表，也代表此類從事的職業內容。模特兒依不同表現方式分成許多類型。超級模特兒是模特兒最高層級，主要伸展台模特兒和平面模特兒的工作量和知名度最高的模特兒的代名詞。伸展台模特兒在模特兒身高、體態上有著限制，美儀美姿都優於其他類型模特，通常伸展台模特兒除了伸展台也可以接平面或是其他的模特兒，所以訓練最嚴格，通常國際知名模特兒，或是知名演員都是從伸展台模特兒轉型的。平面模特兒是指被攝影下來，以照片的方式呈現於海報、雜誌、宣傳單、郵購手冊上人，擔任雜誌封面的女性模特兒另有封面女郎的稱呼。,1
文中提及，麥可杜卡基思曾為哪一州的州長?,促成雷根當選的原因，還包括了當時許多民主黨人也開始支持保守派的政策。這批被稱為雷根民主黨人的選民在雷根任內前後仍是民主黨員，他們大多數是來自東北部和中西部的白人，被雷根的社會保守主義和他的強硬派外交政策所吸引。到了1984年的選舉中，民主黨推派的候選人—前副總統沃爾特蒙代爾仍是新政的堅定支持者，最後雷根總統囊括了49個州的壓倒性勝利。而在1988年的選舉中，來自馬薩諸塞州的州長麥可杜卡基思則拋棄了新政的色彩，改以公共行政專家的形象參選，但仍遭到副總統喬治•赫伯特•沃克•布希以壓倒性勝利擊敗。民主黨在國會依然保持多數派，儘管共和黨曾在1981－1987年間控制參議院。民主黨經常在許多議題上與雷根產生衝突，他們反對雷根資助尼加拉瓜的反政府游擊隊推翻反美親蘇的丹尼爾奧爾特加左派社會主義政府。民主黨沒能阻止雷根對於個人所得稅率的大幅減稅，他們支持雷根對軍事預算的增加，但卻反對雷根大幅裁撤扣減社會福利計畫。民主黨控制的國會最終通過了大多數雷根政府提議的減稅與增加國防預算案，但卻拒絕了其他的減少預算提案。正是和民主黨控制的國會妥協，結果導致雷根任內聯邦的預算赤字和國債飛漲到前所未見的紀錄。,1
多倫多市的湖岸綫有約多長？,多倫多市的面積約630平方公里，位處安大略湖的西北岸，約有46公里長的湖岸綫。多倫多市西臨密西沙加市，北鄰旺市和萬錦，東接皮克靈市。多倫多市屬於安大略省的一級行政區，地位與縣或自治區相同，並與皮爾區、哈爾頓區、約克區和杜林區組成全加拿大最大的都會區——大多倫多地區。由於多倫多地處加拿大的南部，屬於溫帶大陸性濕潤氣候，夏天濕潤，冬天寒冷。城市四季分明，每天的氣溫變化明顯，尤其是在寒冷的季節。在城市化和鄰近安大略湖的影響下，多倫多的日夜溫差相對較小。密集的市區使得其夜間溫度較高，冬天也沒有周邊的地區那麼冷。不過，受安大略湖的影響，在多數春天和初夏的下午和傍晚可以明顯的感受到涼意。,1
清朝在什麼時候在台灣設省？,進入清治時代後，大臺北地區在1684年隸屬於臺灣府諸羅縣，1723年再改隸淡水廳。清治前期，漢人移民逐漸取代與同化平埔族，並入墾山區；但清廷以消極的制度治理臺灣，導致社會動盪不安；至清領後期時，因列強要求台灣開港、與發生牡丹社事件等一連串外交事件後，才轉向積極的制度治理臺灣。1875年，欽差大臣沈葆楨奏請設立臺北府，自此為大臺北地區獨立設治之始；其下轄新竹、淡水、宜蘭三縣與基隆廳一廳，所以今新北市境，除包含汐止區在內的東北角各區外，均屬淡水縣轄區。1887年臺灣建省後，臺北府下屬各縣轄區維持不變。,1
秈稻的祖先是由野生稻與哪一種稻交配而成？,與哈佛、耶魯等大學相比，芝加哥大學只能算作一所年輕的大學。但是，由於芝加哥大學以開放的精神，兼收並蓄地包容了洪堡與紐曼兩種大學理念，並結合美國社會的現實，建構了獨特而卓越的組織理念、研究理念和教學理念，使其在較短的時間成為美國，乃至世界一流大學，並被譽為「第一所美式大學」。芝大首創季制，一學年分為四季，全年無休的課程制度，讓學生可以自由的安排學習時間，每分每秒都不被浪費。夏季，秋季，冬季，春季。全日制本科學生的課程需要三到四個季度學術休息約11周之前每季度。學年通常在九月下旬開始，並在6月中旬結束。芝大是美國入學競爭最激烈的大學之一，2014年本科錄取率為8.6%。芝大有一個非常著名的本科核心基礎課程，對於剛進入大學的新鮮人，在大一大二時必須修畢校方所指定的所有核心課程學分。在2012-2013年，芝大的核心課程每門課堂僅限17名學生，由一名全職教授授課。譬如在2009-2010學年，芝大要求本科生修滿15門核心課程，熟練掌握一門外語，通過游泳測試，以及最多三門體育課。在修完指定的核心課程學分後，學生在大三大四可以依自己的興趣與期望，專攻校方所提供的50個領域的專業課程。學生在畢業時所獲得的文憑，是在大三結束時才決定專業。芝大的本科課程以苛刻的標準、繁重的學業壓力而著稱，但芝大也正因此才提供了最能令人信服和終身受益的學習經歷。,0
